Date,State/Territory,Barrels (Thousands)
3/1/2009,Pennsylvania,8
3/1/2009,South Dakota,5
3/1/2009,Tennessee,1
3/1/2009,Texas,1118
3/1/2009,U.S. Crude Oil ,5210
3/1/2009,Utah,65
3/1/2009,Virginia,0
3/1/2009,West Virginia,6
3/1/2009,Wyoming,140
4/1/2009,Alabama,20
4/1/2009,Alaska,653
4/1/2009,Arizona,0
4/1/2009,Arkansas,16
4/1/2009,California,573
4/1/2009,Colorado,81
4/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1465
4/1/2009,Federal Offshore Pacific Crude Oil,63
4/1/2009,Florida,2
4/1/2009,Idaho,0
4/1/2009,Illinois,25
4/1/2009,Indiana,5
4/1/2009,Kansas,109
4/1/2009,Kentucky,3
4/1/2009,Louisiana,194
4/1/2009,Michigan,17
4/1/2009,Mississippi,64
4/1/2009,Missouri,0
4/1/2009,Montana,80
4/1/2009,Nebraska,6
4/1/2009,Nevada,1
4/1/2009,New Mexico,166
4/1/2009,New York,1
4/1/2009,North Dakota,196
4/1/2009,Ohio,13
4/1/2009,Oklahoma,188
4/1/2009,Pennsylvania,8
4/1/2009,South Dakota,5
4/1/2009,Tennessee,1
4/1/2009,Texas,1110
4/1/2009,U.S. Crude Oil ,5278
4/1/2009,Utah,64
4/1/2009,Virginia,0
4/1/2009,West Virginia,4
4/1/2009,Wyoming,143
5/1/2009,Alabama,20
5/1/2009,Alaska,678
5/1/2009,Arizona,0
5/1/2009,Arkansas,16
5/1/2009,California,573
5/1/2009,Colorado,82
5/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1553
5/1/2009,Federal Offshore Pacific Crude Oil,61
5/1/2009,Florida,2
5/1/2009,Idaho,0
5/1/2009,Illinois,25
5/1/2009,Indiana,4
5/1/2009,Kansas,106
5/1/2009,Kentucky,11
5/1/2009,Louisiana,191
5/1/2009,Michigan,17
5/1/2009,Mississippi,62
5/1/2009,Missouri,0
5/1/2009,Montana,79
5/1/2009,Nebraska,6
5/1/2009,Nevada,1
5/1/2009,New Mexico,167
5/1/2009,New York,1
5/1/2009,North Dakota,205
5/1/2009,Ohio,13
5/1/2009,Oklahoma,189
5/1/2009,Pennsylvania,8
5/1/2009,South Dakota,4
5/1/2009,Tennessee,1
5/1/2009,Texas,1089
5/1/2009,U.S. Crude Oil ,5374
5/1/2009,Utah,65
5/1/2009,Virginia,0
5/1/2009,West Virginia,3
5/1/2009,Wyoming,142
6/1/2009,Alabama,19
6/1/2009,Alaska,571
6/1/2009,Arizona,0
6/1/2009,Arkansas,16
6/1/2009,California,572
6/1/2009,Colorado,83
6/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1561
6/1/2009,Federal Offshore Pacific Crude Oil,65
6/1/2009,Florida,2
6/1/2009,Idaho,0
6/1/2009,Illinois,25
6/1/2009,Indiana,5
6/1/2009,Kansas,110
6/1/2009,Kentucky,5
6/1/2009,Louisiana,190
6/1/2009,Michigan,17
6/1/2009,Mississippi,62
6/1/2009,Missouri,0
6/1/2009,Montana,77
6/1/2009,Nebraska,6
6/1/2009,Nevada,1
6/1/2009,New Mexico,163
6/1/2009,New York,1
6/1/2009,North Dakota,214
6/1/2009,Ohio,13
6/1/2009,Oklahoma,188
6/1/2009,Pennsylvania,8
6/1/2009,South Dakota,5
6/1/2009,Tennessee,1
6/1/2009,Texas,1071
6/1/2009,U.S. Crude Oil ,5263
6/1/2009,Utah,64
6/1/2009,Virginia,0
6/1/2009,West Virginia,6
6/1/2009,Wyoming,142
7/1/2009,Alabama,19
7/1/2009,Alaska,551
7/1/2009,Arizona,0
7/1/2009,Arkansas,16
7/1/2009,California,566
7/1/2009,Colorado,81
7/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1735
7/1/2009,Federal Offshore Pacific Crude Oil,64
7/1/2009,Florida,2
7/1/2009,Idaho,0
7/1/2009,Illinois,25
7/1/2009,Indiana,5
7/1/2009,Kansas,110
7/1/2009,Kentucky,10
7/1/2009,Louisiana,185
7/1/2009,Michigan,16
7/1/2009,Mississippi,63
7/1/2009,Missouri,0
7/1/2009,Montana,75
7/1/2009,Nebraska,6
7/1/2009,Nevada,1
7/1/2009,New Mexico,160
7/1/2009,New York,1
7/1/2009,North Dakota,227
7/1/2009,Ohio,13
7/1/2009,Oklahoma,177
7/1/2009,Pennsylvania,8
7/1/2009,South Dakota,4
7/1/2009,Tennessee,1
7/1/2009,Texas,1063
7/1/2009,U.S. Crude Oil ,5389
7/1/2009,Utah,62
7/1/2009,Virginia,0
7/1/2009,West Virginia,3
7/1/2009,Wyoming,138
8/1/2009,Alabama,19
8/1/2009,Alaska,572
8/1/2009,Arizona,0
8/1/2009,Arkansas,16
8/1/2009,California,565
8/1/2009,Colorado,82
8/1/2009,Federal Offshore Gulf of Mexico Crude Oil,1734
8/1/2009,Federal Offshore Pacific Crude Oil,63
8/1/2009,Florida,2
8/1/2009,Idaho,0
8/1/2009,Illinois,25
8/1/2009,Indiana,5
8/1/2009,Kansas,106
8/1/2009,Kentucky,4
8/1/2009,Louisiana,187
8/1/2009,Michigan,16
8/1/2009,Mississippi,63
8/1/2009,Missouri,0
8/1/2009,Montana,74
8/1/2009,Nebraska,6
8/1/2009,Nevada,1
8/1/2009,New Mexico,164
8/1/2009,New York,1
8/1/2009,North Dakota,231
8/1/2009,Ohio,13
